,Date,USD (AM),USD (PM),GBP (AM),GBP (PM),EURO (AM),EURO (PM),OilPrice,,
75,16-04-2003,323.85,324.1,205.75,205.778,298.892,298.847,25.71,,
76,17-04-2003,326.1,327,206.523,206.962,298.626,298.985,26.25,,
77,22-04-2003,333.25,334.9,211.654,212.096,304.032,304.843,26.24,,
78,23-04-2003,333.8,333.3,211.708,210.616,304.368,305.523,25.14,,
79,24-04-2003,332,333.7,208.674,209.532,301.325,302.923,23.97,,
80,25-04-2003,333.4,333.25,209.751,209.789,302.898,303.368,24.4,,
81,28-04-2003,333.75,332.6,209.025,208.815,302.584,301.678,23.64,,
82,29-04-2003,332.6,331.4,208.985,208.756,302.914,302.925,23.27,,
83,30-04-2003,336,336.75,210.592,210.798,302.022,302.099,23.72,,
84,01-05-2003,338.95,341.2,211.381,212.255,303.311,304.235,23.85,,
85,02-05-2003,341.25,340.5,212.286,211.951,303.603,303.341,23.84,,
86,06-05-2003,342.65,342.85,212.892,212.488,302.16,302.604,23.92,,
87,07-05-2003,343,341.85,213.308,213.991,301.141,300.395,23.89,,
88,08-05-2003,341.4,346.45,213.375,216.328,300.661,302.049,24.44,,
89,09-05-2003,348.7,347.9,217.53,216.895,303.217,303.128,25.14,,
90,12-05-2003,350.35,351.1,217.447,217.736,302.626,303.195,25.32,,
91,13-05-2003,350.75,350.4,218.101,217.883,305,304.299,25.41,,
92,14-05-2003,348.9,353.55,216.372,218.241,303.259,307.569,26.13,,
93,15-05-2003,353.85,354.25,218.561,218.471,308.5,309.119,26.21,,
94,16-05-2003,352.55,355,217.449,217.992,308.551,307.546,26.24,,
95,19-05-2003,359.75,359,220.071,219.237,307.085,306.707,26.53,,
96,20-05-2003,368,366.3,225.49,224.078,316.559,314.07,26.1,,
97,21-05-2003,364.9,367.8,222.094,223.451,311.348,314.091,26.64,,
98,22-05-2003,369.6,369.6,225.986,226.055,316.438,316.168,26.53,,
99,23-05-2003,369.7,370.5,225.207,226.26,313.438,314.219,26.85,,
100,27-05-2003,372.35,371.4,226.697,225.912,312.978,311.97,26.48,,
101,28-05-2003,364.55,359.5,222.558,219.945,309.203,306.062,26.49,,
102,29-05-2003,361.1,363.1,220.519,220.528,308.027,308.104,26.27,,
103,30-05-2003,365.8,361.4,221.63,220.5,308.692,307.182,26.71,,
104,02-06-2003,361.3,364.75,221.793,223.636,309.2,311.885,27.1,,
105,03-06-2003,365.3,365,222.88,223.255,311.026,310.903,27.09,,
106,04-06-2003,365.3,364.2,223.836,223.34,311.689,311.415,26.72,,
107,05-06-2003,362.6,366.75,221.232,221.494,310.047,310.017,26.77,,
108,06-06-2003,367.35,363,220.36,218.267,310,310.018,27.3,,
109,09-06-2003,362.8,362.75,219.546,219.809,309.161,308.408,27.53,,
110,10-06-2003,359.4,354.25,217.489,214.1,306.839,302.648,27.51,,
111,11-06-2003,354.15,354.25,212.894,212.507,302.227,301.156,27.86,,
112,12-06-2003,354.2,352.25,211.526,211.206,301.575,300.426,27.48,,
113,13-06-2003,353.95,353.05,211.693,211.597,300.212,299.271,26.7,,
114,16-06-2003,359,358.3,213.754,212.263,301.934,302.108,26.44,,
115,17-06-2003,359.75,362.75,213.692,214.937,304.1,307.647,26.37,,
116,18-06-2003,361.25,359.75,215.222,214.048,307.447,307.164,25.88,,
117,19-06-2003,356.45,357.65,212.552,214.034,305.703,307.497,25.6,,
118,20-06-2003,359.6,358,214.367,214.115,307.613,307.29,26.34,,
119,23-06-2003,356.05,355,214.643,213.341,308.536,308.026,26.54,,
120,24-06-2003,354.35,348.25,212.44,209.348,306.002,301.515,26.26,,
121,25-06-2003,347.85,348.1,208.994,207.945,302.032,301.046,26.58,,
122,26-06-2003,345.85,343.85,207.905,206.927,301.342,300.7,26.62,,
123,27-06-2003,343.5,345.5,207.616,209.394,300.788,301.984,26.55,,
124,30-06-2003,345.15,346,209.601,209.659,302.498,302.052,27.11,,
125,01-07-2003,348.55,350.2,210.452,210.647,301.958,302.549,27.19,,
126,02-07-2003,351.2,351.5,211.121,211.365,304.333,304.989,27.31,,
127,03-07-2003,349.6,349.4,210.387,209.535,305.274,304.223,27.6,,
128,04-07-2003,351.1,351.3,210.164,210.511,305.836,306.197,27.19,,
129,07-07-2003,350.25,348.15,211.248,211.026,307.696,306.605,27.04,,
130,08-07-2003,345.3,347.2,210.999,211.682,306.389,306.2,26.83,,
131,09-07-2003,345.45,344.15,211.777,211.135,304.495,303.537,27.43,,
132,10-07-2003,343.4,343.4,210.223,211.323,303.223,302.822,27.98,,
133,11-07-2003,344.2,343.7,210.456,210.304,303.661,303.971,28.14,,
134,14-07-2003,344.5,347.5,212.065,213.387,305.814,307.795,28.02,,
135,15-07-2003,348.5,348.25,216.258,216.439,308.216,307.451,27.98,,
136,16-07-2003,343,343.2,215.452,215.443,307.485,306.237,27.87,,
137,17-07-2003,344.6,342.5,215.942,215.653,306.72,306.405,27.93,,
138,18-07-2003,344,344.35,215.471,216.982,306.869,307.813,28.23,,
139,21-07-2003,347.8,350,219.156,219.573,308.06,309.433,27.98,,
140,22-07-2003,352.25,352,219.84,219.876,310.079,310.105,27.17,,
141,23-07-2003,352.2,354.75,220.015,220.89,309.327,310.558,27,,
142,24-07-2003,359.8,357.3,223.09,221.788,313.278,311.916,27.23,,
143,25-07-2003,361.1,363,223.246,224.143,314.082,314.613,27.38,,
144,28-07-2003,361.95,365.6,223.15,224.846,315.013,318.051,27.02,,
145,29-07-2003,364,363.5,223.725,223.417,316.935,315.483,27.18,,
146,30-07-2003,359.1,357.75,221.053,221.175,313.761,313.816,27.31,,
147,31-07-2003,355.75,354.75,220.757,220.712,313.989,314.774,27.52,,
148,01-08-2003,353.05,352.35,220.106,219.041,315.731,313.758,28.21,,
149,04-08-2003,348.95,347.5,216.605,215.597,308.778,306.843,28.66,,
150,05-08-2003,349.5,348.4,216.879,216.734,308.201,307.774,28.8,,
151,06-08-2003,352.65,352,218.224,218.132,309.342,309.124,28.88,,
152,07-08-2003,350.15,351.6,217.823,218.074,308.231,308.882,29.07,,
153,08-08-2003,353.5,353.95,219.293,219.64,311.591,312.125,29.22,,
154,11-08-2003,357,359.15,223.195,223.867,316.545,317.074,29.02,,
155,12-08-2003,360,360.1,224.201,224.571,317.572,318.673,28.97,,
156,13-08-2003,356,358.65,222.056,222.833,316.529,317.474,28.61,,
157,14-08-2003,362.25,363.6,224.86,226.401,319.868,322.055,28.02,,
158,15-08-2003,363.3,364.5,226.567,228.126,321.846,323.511,28.42,,
159,18-08-2003,361.3,360.25,226.449,226.146,321.728,321.939,28.32,,
160,19-08-2003,358.3,360.4,225.772,227.31,322.212,324.685,27.94,,
161,20-08-2003,362.2,363.7,227.37,228.025,325.719,326.628,28.02,,
162,21-08-2003,364,363.3,229.581,229.573,330.518,330.724,28.73,,
163,22-08-2003,360.75,358.75,228.612,228.285,330.055,330.493,29.17,,
164,26-08-2003,360.75,360.5,230.364,230.057,332.857,332.626,29.04,,
165,27-08-2003,364.3,371.25,231.891,235.939,334.312,340.128,28.77,,
166,28-08-2003,370.9,369.8,236.393,234.585,341.214,339.734,28.8,,
167,29-08-2003,371,375.6,234.469,237.767,339.837,342.451,28.9,,
168,01-09-2003,376.35,376.25,238.725,239.864,342.604,343.231,28.62,,
169,02-09-2003,375.5,373.7,239.706,237.798,345.86,343.632,27.52,,
170,03-09-2003,372.2,370,237.403,235.774,344.056,342.371,26.86,,
171,04-09-2003,373,370.75,236.75,234.875,343.842,340.857,26.69,,
172,05-09-2003,371,375.8,234.498,236.829,339.122,340.46,26.35,,
173,08-09-2003,376.4,374.65,236.923,236.298,339.926,338.529,26.41,,
174,09-09-2003,378.2,382.25,238.913,240.031,340.23,341.6,26.44,,
175,10-09-2003,381.15,380,239.491,238.499,340.191,338.832,26.52,,
176,11-09-2003,379.05,376.3,237.723,236.325,337.533,337.035,26.48,,
177,12-09-2003,377.5,378.25,236.974,235.773,338.11,334.794,25.94,,
178,15-09-2003,375.3,373.5,233.905,233.117,333.156,330.677,25.79,,
179,16-09-2003,374.9,374.6,234.415,235.154,333.008,333.541,25.59,,
180,17-09-2003,372.9,374.25,233.691,233.775,333.99,333.289,25.16,,
181,18-09-2003,376.95,378.3,233.652,233.735,334.531,334.779,24.9,,
182,19-09-2003,376.3,379.75,231.669,233.104,333.451,335.616,24.82,,
183,22-09-2003,386.2,385.5,234.487,234.019,336.499,335.86,24.82,,
184,23-09-2003,386.45,384.6,233.646,232.696,336.336,335.456,25.14,,
185,24-09-2003,385.25,385,232.625,232.769,335.876,336.245,25.59,,
186,25-09-2003,391.85,390.7,236.482,235.546,340.887,339.857,26.37,,
187,26-09-2003,384.1,382.7,231.525,230.195,334.728,333.072,26.11,,
188,29-09-2003,379.85,381.95,230.352,231.149,332.473,333.523,26.38,,
189,30-09-2003,384.5,388,229.854,231.919,328.97,331.199,26.82,,
190,01-10-2003,385,383.5,231.551,231.177,329.623,328.48,27.08,,
191,02-10-2003,385.15,382.2,230.836,228.931,328.486,327.226,27.6,,
192,03-10-2003,383.95,384.25,229.979,230.435,327.966,329.687,27.85,,
193,06-10-2003,372.75,371.3,224.143,222.429,321.891,319.151,28.19,,
194,07-10-2003,376.2,376.1,224.597,225.115,319.355,319.27,28.11,,
195,08-10-2003,376.6,375.25,226.363,225.714,319.153,317.444,27.99,,
196,09-10-2003,376.45,370.6,225.893,223.32,317.733,315.539,28.6,,
197,10-10-2003,370.35,372.3,222.74,223.135,315.379,315.375,29.88,,
198,13-10-2003,370.8,370.25,223.67,222.346,317.792,316.102,29.75,,
199,14-10-2003,373.65,373.95,225.226,224.73,320.18,320.163,29.78,,
200,15-10-2003,374.5,373.5,224.184,223.439,320.359,320.766,29.66,,
201,16-10-2003,371.2,373.4,221.93,222.328,319.175,319.883,29.74,,
202,17-10-2003,371.8,370.5,222.169,221.458,320.186,318.984,28.89,,
203,20-10-2003,371.45,373.8,221.431,223.297,318.322,320.858,28.4,,
204,21-10-2003,374.8,378.2,224.029,225.791,321.717,323.524,28.4,,
205,22-10-2003,381.55,384.75,226.978,227.892,326.502,327.224,28.16,,
206,23-10-2003,386.75,384.5,228.549,227.501,327.699,326.484,28.1,,
207,24-10-2003,384.6,388.25,226.929,228.584,326.43,328.385,28.23,,
208,27-10-2003,386.75,386,227.835,227.93,328.534,329.127,28.12,,
209,28-10-2003,386.55,384.4,228.188,227.187,329.54,328.912,27.77,,
210,29-10-2003,382.7,385.4,224.326,226.573,326.815,329.881,27.58,,
211,30-10-2003,391,386.5,229.865,226.952,334.274,330.54,26.98,,
212,31-10-2003,384.6,386.25,227.037,227.943,330.271,332.315,27.17,,
213,03-11-2003,383.25,383.25,226.106,226.306,330.816,331.159,27.19,,
214,04-11-2003,378.3,377.9,225.581,225.518,330.105,328.752,26.77,,
215,05-11-2003,382.15,378.75,227.877,226.119,333.319,330.497,27.49,,
216,06-11-2003,381.9,380.25,228.341,227.422,333.392,332.823,27.84,,
217,07-11-2003,381,378.95,228.898,227.666,333.362,331.83,28.3,,
218,10-11-2003,382.85,383.5,228.977,229.503,333.638,333.768,28.58,,
219,11-11-2003,386.4,387.8,231.682,232.913,336.058,336.924,28.63,,
220,12-11-2003,388.05,389.7,232.296,232.657,334.526,334.938,28.63,,
221,13-11-2003,395.5,395.4,234.997,234.45,338.381,337.372,28.94,,
222,14-11-2003,395.35,396.7,233.935,234.914,335.327,336.557,29.26,,
223,17-11-2003,398,393.7,235.197,232.876,336.774,333.955,28.9,,
224,18-11-2003,392.4,393.9,231.641,232.664,333.673,333.164,29.21,,
225,19-11-2003,397.15,395.15,233.645,232.619,332.761,331.641,29.79,,
226,20-11-2003,395.75,394.3,232.63,231.261,331.866,330.844,29.45,,
227,21-11-2003,393.85,395.5,231.296,231.734,331.524,331.656,29.41,,
228,24-11-2003,394.25,391.9,232.39,230.801,334.082,331.837,28.29,,
229,25-11-2003,391.5,391.75,230.565,230.645,332.343,331.57,27.98,,
230,26-11-2003,392,396,230.928,232.326,331.165,332.913,28.15,,
231,27-11-2003,396.25,395.45,231.05,230.852,332.704,332.451,28.39,,
232,28-11-2003,398.1,398.35,231.319,231.196,332.11,331.82,28.45,,
233,01-12-2003,398.75,400.25,231.468,232.069,332.07,333.181,27.92,,
234,02-12-2003,401.05,401.35,233.101,232.667,334.906,333.763,28.43,,
235,03-12-2003,403.3,401.8,233.216,232.564,333.444,332.341,28.68,,
236,04-12-2003,402.4,402.25,233.411,233.595,333.61,332.164,29.02,,
237,05-12-2003,402,402.4,233.49,233.275,332.919,331.958,28.69,,
238,08-12-2003,408.75,406.15,235.999,234.43,335.674,332.637,29.47,,
239,09-12-2003,408.25,407.75,234.492,233.735,332.912,332.993,29.73,,
240,10-12-2003,407.3,410,233.57,234.755,333.224,334.557,29.64,,
241,11-12-2003,404,404.1,231.811,231.709,332.155,332.456,29.42,,
242,12-12-2003,406.6,407.1,232.542,232.961,332.108,332.191,29.9,,
243,15-12-2003,404.5,407.5,232.271,233.124,330.744,331.624,30.04,,
244,16-12-2003,409.7,408,234.449,233.276,331.875,330.9,30.34,,
245,17-12-2003,407.5,408.25,232.591,231.763,330.361,329.766,30.45,,
246,18-12-2003,410.75,407.5,232.654,230.813,330.451,329.293,30.73,,
247,19-12-2003,408.75,409.75,231.455,231.825,329.239,330.177,30.71,,
248,22-12-2003,410.8,410.45,233.012,233.012,330.491,330.076,29.62,,
249,23-12-2003,409.6,409.25,232.2,232.067,330.189,330.04,29.13,,
251,29-12-2003,413.5,412,232.958,231.969,331.197,329.864,29.53,,
252,30-12-2003,415.6,416.25,234.18,233.809,332.32,332.335,29.73,,
254,02-01-2004,415.2,415.25,232.15,232.048,329.002,329.433,29.41,,
255,05-01-2004,417.75,420.6,232.277,232.955,329.716,331.965,29.85,,
256,06-01-2004,428,424.4,234.842,232.803,335.555,332.081,30.33,,
257,07-01-2004,420.65,421.75,231.686,231.794,332.057,332.217,30.23,,
258,08-01-2004,418.1,421,230.574,230.155,332.353,331.027,30.41,,
259,09-01-2004,422.8,423.35,230.396,229.707,331.92,330.226,30.88,,
260,12-01-2004,428.2,425.25,230.898,229.952,332.299,331.967,30.96,,
261,13-01-2004,424.5,425.5,230.206,230.174,333.072,333.307,31.08,,
262,14-01-2004,421,419.5,229.053,228.424,332.202,331.228,30.53,,
263,15-01-2004,415.5,412.5,227.422,226.238,328.51,326.992,30.37,,
264,16-01-2004,410.3,408.4,226.248,226.11,328.083,328.481,30.27,,
265,19-01-2004,407.1,406.6,227.519,227.596,328.837,328.752,30.73,,
266,20-01-2004,408.3,409.25,227.149,225.83,328.084,326.356,31.01,,
267,21-01-2004,411.25,407.6,224.702,222.915,325.691,323.62,30.74,,
268,22-01-2004,412,409.25,223.028,222.056,323.366,322.067,30.71,,
269,23-01-2004,411.4,409,222.559,222.949,322.54,322.301,30.74,,
270,26-01-2004,406.2,408.2,222.624,223.365,323.408,324.097,30.17,,
271,27-01-2004,404,405.7,223.823,223.465,323.848,322.624,29.99,,
272,28-01-2004,410.7,411,224.096,224.345,325.952,326.45,29.49,,
273,29-01-2004,410.15,405.7,224.494,222.973,327.727,326.099,28.98,,
274,30-01-2004,401.3,399.75,221.561,220.03,323.238,322.327,28.68,,
275,02-02-2004,401.85,398.35,220.373,218.549,322.434,319.754,29.06,,
276,03-02-2004,401.75,401.45,218.747,218.144,319.992,319.626,29.19,,
277,04-02-2004,399.6,399.25,217.529,217.896,318.533,318.992,28.55,,
278,05-02-2004,399.3,399.55,217.709,217.029,317.383,316.55,28.2,,
279,06-02-2004,396.4,404.25,216.081,218.809,316.361,318.182,28.2,,
280,09-02-2004,406.7,405.95,218.903,218.253,319.306,319.269,28.09,,
281,10-02-2004,408.35,408.55,218.521,218.593,319.773,320.935,28.75,,
282,11-02-2004,406.4,405.75,217.129,217.048,320.176,319.891,29.13,,
283,12-02-2004,411.4,411.6,217.27,217.72,320.98,321.186,28.96,,
284,13-02-2004,412.1,416,217.754,219.479,321.476,323.484,29.74,,
285,16-02-2004,410.7,411.7,217.647,217.773,321.991,322.169,29.72,,
286,17-02-2004,413.7,414.5,217.76,217.505,322.246,322.744,30.08,,
287,18-02-2004,415.9,414.5,217.43,217.38,322.478,322.568,30.52,,
288,19-02-2004,410.2,409.8,216.762,216.722,322.56,323.441,30.44,,
289,20-02-2004,408.25,405.25,216.486,216.076,322.218,320.787,30.17,,
290,23-02-2004,399.85,399.5,215.147,214.255,318.479,317.77,30.2,,
291,24-02-2004,401.45,402.25,214.164,213.52,318.864,318.261,30.55,,
292,25-02-2004,403.4,400.25,213.496,211.997,318.44,317.482,30.89,,
293,26-02-2004,395.05,393.25,212.107,210.994,317.948,315.711,31,,
294,27-02-2004,392.25,395.85,212.199,213.109,316.586,317.875,31.13,,
295,01-03-2004,398.5,400,213.421,213.652,319.439,320.384,31.82,,
296,02-03-2004,398.6,395.75,214.243,213.204,321.581,319.411,32.48,,
297,03-03-2004,390.35,390.5,212.806,213.458,321.408,321.531,31.82,,
298,04-03-2004,394.15,392,215.559,215.03,323.737,322.156,32.05,,
299,05-03-2004,393.5,399.25,216.138,216.103,322.382,321.509,32.75,,
300,08-03-2004,399.4,399.85,215.694,216.217,323.113,322.85,32.59,,
301,09-03-2004,401.2,401.5,218.221,218.444,324.071,323.712,32.3,,
302,10-03-2004,400.8,400.25,220.123,221.389,326.198,326.628,31.67,,
303,11-03-2004,397.4,398.45,221.171,221.3,325.391,324.788,31.95,,
304,12-03-2004,400.75,398,223.011,221.641,326.929,325.403,31.94,,
305,15-03-2004,399,398.1,220.466,221.487,324.364,325.112,32.3,,
306,16-03-2004,399.6,402.5,220.044,221.507,323.563,325.911,32.59,,
307,17-03-2004,402,402.75,222.136,222.121,328.003,329.583,32.95,,
308,18-03-2004,407.15,410.75,223.096,224.576,331.555,333.05,33.03,,
309,19-03-2004,411,412,224.003,224.462,332.578,333.468,33.01,,
310,22-03-2004,414.1,417.65,224.749,226.074,335.957,337.85,32.46,,
311,23-03-2004,415.2,416.25,225.163,225.671,337.15,338.828,32.83,,
312,24-03-2004,417.6,415.25,226.587,226.541,340.065,340.48,32.85,,
313,25-03-2004,416.6,416.1,230.357,230.067,342.881,342.328,31.93,,
314,26-03-2004,417.5,421.5,229.648,231.657,342.775,346.343,31.57,,
315,29-03-2004,420.9,421.25,232.093,231.265,347.249,346.537,31.13,,
316,30-03-2004,419.15,420,229.923,229.973,343.144,344.403,31.7,,
317,31-03-2004,423,423.7,230.581,230.836,345.729,345.962,31.49,,
318,01-04-2004,425.3,427.25,229.942,230.013,344.819,345.476,30.79,,
319,02-04-2004,426.1,419,230.076,228.862,345.72,343.922,30.18,,
320,05-04-2004,420.55,417.7,230.754,230.074,347.246,347.446,29.9,,
321,06-04-2004,416.95,418.5,227.345,227.842,344.587,346.44,30.22,,
322,07-04-2004,419.25,419,227.791,228.04,346.602,345.71,31.32,,
323,08-04-2004,422,419.5,229.211,228.673,347.182,347.354,32.37,,
324,13-04-2004,417.45,407.9,228.364,224.676,347.788,341.768,32.6,,
325,14-04-2004,405.75,397.75,224.543,222.393,340.337,334.3,32.1,,
326,15-04-2004,398,398.25,222.558,223.259,333.333,333.487,32.54,,
327,16-04-2004,399.75,400.85,222.95,222.942,333.681,333.903,32.85,,
328,19-04-2004,405.3,403.1,223.614,222.966,335.847,334.94,32.89,,
329,20-04-2004,398.8,396.85,222.47,221.729,334.564,333.768,32.45,,
330,21-04-2004,393.75,392.75,222.119,221.118,332.559,330.793,32.15,,
331,22-04-2004,391.35,392.3,221.352,221.576,330.532,330.191,32.5,,
332,23-04-2004,396.25,394.5,222.662,223.184,332.899,333.277,32.58,,
333,26-04-2004,396.5,397,222.753,222.409,334.967,334.598,32.87,,
334,27-04-2004,397.15,396.25,221.686,222.026,334.301,334.078,33.32,,
335,28-04-2004,396.75,392.25,221.995,220.241,332.677,330.566,33.67,,
336,29-04-2004,382.75,386,216.573,217.342,323.405,323.446,33.33,,
337,30-04-2004,387.3,388.5,218.863,218.688,324.399,324.426,33.99,,
338,04-05-2004,389.75,391.25,217.859,218.271,323.713,323.748,34.71,,
339,05-05-2004,394.3,392.55,219.177,218.813,324.207,323.086,35.3,,
340,06-05-2004,392,387.5,218.47,216.227,322.82,321.15,35.88,,
341,07-05-2004,386.85,380.8,215.587,212.714,320.665,318.821,36.12,,
342,10-05-2004,374.1,375,210.583,211.399,316.096,317.178,35.42,,
343,11-05-2004,378,375.25,214.529,213.635,319.392,317.685,35.57,,
344,12-05-2004,381.15,382.2,215.23,214.816,320.725,320.315,36.74,,
345,13-05-2004,375.5,375.15,212.688,212.694,316.691,317.225,36.93,,
346,14-05-2004,373.5,376.5,213.321,213.617,316.525,316.786,37.67,,
347,17-05-2004,380.8,382.95,215.19,216.051,316.595,317.906,37.72,,
348,18-05-2004,379,377.7,214.634,213.426,315.807,315.407,36.93,,
349,19-05-2004,380.2,380.75,213.164,213.796,316.939,316.975,37.12,,
350,20-05-2004,380.45,379.5,215.394,213.923,318.848,317.733,37.44,,
351,21-05-2004,382.25,385.3,213.19,215.131,317.352,320.256,36.4,,
352,24-05-2004,383.85,384,214.789,214.417,321.267,320.99,37.05,,
353,25-05-2004,387.6,388.9,214.796,214.613,321.207,320.875,37.36,,
354,26-05-2004,390.5,389.65,214.974,214.376,322.381,321.777,36.99,,
355,27-05-2004,391.45,393.6,214.317,214.765,322.022,321.674,36.02,,
356,28-05-2004,393.85,393.25,214.808,214.223,321.615,321.677,36.01,,
357,01-06-2004,395.85,397.2,215.393,216.199,323.196,325.227,37.64,,
358,02-06-2004,395.85,394.85,214.704,213.907,322.774,321.408,36.8,,
359,03-06-2004,391.4,390.35,213.437,212.539,320.033,319.2,35.86,,
360,04-06-2004,388.1,388.3,211.062,211.239,317.75,317.628,34.94,,
361,07-06-2004,393.45,393.6,213.89,214.134,319.307,319.403,34.64,,
362,08-06-2004,394.95,392.35,214.135,213.733,320.42,319.842,34.45,,
